menu_start_game_0|Viking Conquest'e hoş geldiniz.
menu_start_phase_2|{s1}
mno_continue_i|Devam...
mno_continue_cheat|Eğitimi geç.
mno_go_back_dot|Geri dön.
menu_start_game_3|Senaryo seç:
mno_go_back|Geri dön.
menu_tutorial|Yerel sakinlerin silah talimi yaptığı bir alana yaklaşıyorsun. Burada savaş becerilerini geliştirebilirsin.
mno_continue|Devam et...
menu_reports|Karakter Şanı: {reg5}^Onur Derecesi: {reg6}^Grup Morali: {reg8}^Grup Büyüklüğü Sınırı: {reg7}^
mno_resume_travelling|Yolculuğa devam et.
menu_start_phase_2x|Geri dön
menu_start_phase_22|{s1}
mno_town_4|Devam...
menu_custom_battle_end|Savaş bitti. {s1} Grubun {reg5} düşman öldürdü ve savaş sırasında {reg6} asker kaybetti. Kişisel olarak {reg7} adam öldürdün.
menu_start_game_2|Viking İstilası'na Hoşgeldin.
menu_start_game_1|Viking İstilası'na Hoşgeldin.
menu_start_game_11|Çıkış?
menu_start_game_4|Bazı değişiklikler yaptın. Oyun başladıktan sonra bunları değiştiremeyeceksin. Bunları kaydetmek ve devam etmek istiyor musun?
menu_past_life_explanation|{u}
mno_view_next|{s5}
menu_character_report|{s9}
menu_camp|Kamp kurdun. Ne yapmak istiyorsun?
mno_camp_action|Bir işe giriş.
mno_camp_wait_here|Burada bir süre bekle.
menu_camp_action_rest|Kamp yapmak adamlarının dinlenmelerini ve zorlu yolculukların rehavetini üzerlerinden atmalarını sağlar. Buna ek olarak yemekten tasarruf etmenizi ve yemek stoklarınızı büyütmenizi sağlar. Bu avantajı dolayısıyla özellikle düşman topraklarında yapılan kamp, etrafta size yemek verecek yerleşim bulamayacağınız için büyük bir kurtarıacı niteliğindedir. 
menu_build_refuge_new|Adamların sığınağı inşa etmek için emrini bekliyor. Şimdiye kadar yeterli materyal toplanmış durumda. Toplanamamış, eksik olanlar ise çevre köylerden satın alınabilir.^^Toplam Eder: 1000 pening.^Gerekli Süre: 6 saat.
mno_refuge_here|Emret.
menu_camp_cheat|Hile seç:
mno_camp_cheat_find_item|Bir eşya bul...
mno_testing_cheats|Hızlı Kullanım Hileleri
mno_back_to_camp_menu|Kamp menüsüne geri dön
menu_cheat_testing_cheats1|Bir hile seç:
mno_continue1|Devam...
mno_update_danmork4|Test: Şöhret, para ve asker ekle.
menu_storyline_cheat|Hile seç:
mno_hide_lords|Elçi Görvinden Sonra: Snotingaham'da lordlar spawnla.
mno_douar_1s|Douar-an-Enez'e erişim (danimarka tarafı). Boar Grove'dan önce.
mno_douar_2s|Douar-an-Enez'e erişim (wessex tarafı). Boar Grove'dan önce.
mno_douar_2sbeda|Douar-an-Enez'e erişim (Partinde Beda olmalı - gidip yaşlı kaptanla konuş)
mno_update_danmork21|Test: ulf testigo.
mno_douar_back|Final kısmı: Douar-an-Enez'den dönüş (sığır görevinden önce).
mno_oath_mission|Krallığa katılma görevini tekrar sahnelemek için İttifak görevine geri dön.
mno_mission_test_1|Test Cenaze Görevi.
mno_mission_test_2|Test Sven Saldırısı Filo.
mno_mission_test_4|İlk gemi görevi.
mno_mission_test_5|Douaranenez çıkartması (wessex tarafı)
mno_mission_test_6|Douaranenez çıkartması (dan tarafı)
mno_mission_test_7|Holmgang (Reginhard)
mno_mission_test_8|Holmgang (Egil)
menu_phaiak_cheats|Yalnızca test için:
mno_vc_menu|vc menüsü kapalı: {reg1}
mno_beaufort|beaufort: {reg1}
mno_crew|A. Ekibinin oranlarını seç. Şu anda: {reg1} %%
mno_testdrive|Test sürüşü
mno_testdrive2|Büyük deniz savaşı... rakip seç 0
mno_mission_test_3|D-day (100 gemi)
mno_back_cm|Geri.
mno_camp_action_4|Kamp menüsüne dön.
menu_camp_action|Bir eylem seç:
mno_camp_cheat|HİLE MENÜSÜ!
mno_storyline_cheat|Senaryo Hileleri!
mno_camp_action_1testing|Grup testi.
mno_jump_to_scene|debug: senaryo menüsü testi
mno_toggle_cheat_on|Değiştir: hile menüsü açık.
mno_toggle_cheat_off|Değiştir: hile menüsü kapalı.
menu_camp_recruit_prisoners|Sana katılmayı kabul ederlerse esirlerine özgürlük vaad ediyorsun. {s18}
mno_camp_recruit_prisoners_accept|Kabul et.
mno_camp_recruit_prisoners_half|Yarısını al.
mno_camp_recruit_prisoners_reject|Geri çevir.
menu_camp_no_prisoners|Sana katılacak mahkumun yok.
