qstr_Breaking_camp...|Yeni kamp...
qstr_The_poem_the_bard_ha|Gezgin şairin leydi için yazdığı şiir pek de işe yaramış gibi görünmüyor. 
qstr_Poem_for_a_lady|Bir leydi için şiir
qstr_{s33}_seemed_to_like|Ozanın yazdığı şiirden {s33} hoşlanıyor gibi gözüküyor.
qstr_The_bard_s_poem_abou|Gezgin şairin senin hakkında yazdığı şiir diyardan diyara yayılıyor. 
qstr_Fame_spreads|Şöhretin yayılıyor
qstr_People_say_that_{s31|İnsanlar {s31} 'ın mülkünde gömülü bir Viking hoard bulduğunu söylüyor. Lordlar mülkiyeti üzerine gelmeye başladı.
qstr_People_say_that_{s31}|İnsanlar {s31} veya hizmetçilerinin, {s32} 'nin mülkünden sığır çaldığını söylüyor. Bu {s32} öfkeli yaptı.
qstr_People_say_that_{s31}_|İnsanlar, {s31}'in korumalarından birine zehirli mead boynuzu servis ettiğini söylüyor. {s32} çileden çıkarıldı.
qstr_People_say_that_{s31}_t|İnsanlar {s31} ünitesinin haneye erişebilmek için {s32} 'in korumalarından birine rüşvet vermeye çalıştığını söylüyor, ancak {s32} bunu öğrendi.
qstr_People_say_that_a_ru|İnsanlar, bilinmeyen bir gezgin tarafından yayılan bir söylentinin, {s31} ve {s32} arasındaki düşmanlığı kışkırtmadığını söylüyor.
qstr_{s33}|{s33}
qstr_Rumors|Söylentiler
qstr_{playername}_is_beli|{playername}, {s32} ve {s31} içeren son aşağılayıcı söylentilerin arkasında olduğuna inanılıyor.
qstr_A_recent_rumor_alleg|Son zamanlarda çıkan bir söylenti, {s32}'inin korumalarının arkasına saklandığını iddia ediyor.
qstr_A_recent_rumor_allege|Yakın zamanda yapılan bir söylentide, {s32}'nin hancıda bir tür sapkın ayin uyguladığı iddia ediliyor.
qstr_A_recent_rumor_alleges|Yeni bir söylenti, ne demek istediğimi biliyorsanız, {s32}'in yeni kısrağına çok düşkün olduğunu iddia ediyor.
qstr_A_recent_rumor_alleges_|Yakın tarihli bir söylenti, {s32} 'nin kılıçtan çok içme boynuzu kullanacağını iddia ediyor.
qstr_People_say_that_a_rum|İnsanlar, {s32} hakkında bilinmeyen bir gezgin tarafından yayılan bir söylentinin itibarına zarar vermediğini söylüyor.
qstr_{playername}_is_belie|{playername} 'in {s32}' nin kararsızlıkları ile ilgili son söylentilerin arkasında olduğuna inanılıyor.
qstr_A_recent_rumor_sprea|Bilinmeyen bir gezgin tarafından yayılan yeni bir söylenti, {s32} 'nin {s31}' e karşı ilgi çekici olduğunu iddia ediyor.
qstr_People_say_that_a_rumo|İnsanlar, {s32} 'ın sadakatsiz bir gazoz olduğu hakkında bilinmeyen bir gezgin tarafından yayılan bir söylentinin, {s32} ve {s31} arasındaki düşmanlığı teşvik edemediğini söylüyor.
qstr_{playername}_is_believ|{playername} 'in {s32}' in sadakatsizliği ile ilgili son söylentilerin arkasında olduğuna inanılıyor.
qstr_It_seems_that_{s31}_|Görünüşe göre {s31}, {s 32}'nin aldatmacasıyla ilgili son hikayeleri makul buldu.
qstr_It_appears_{s31}_has|Görünüşe göre {s31}, {s32} 'in aldatma konusundaki son hikayelerini düşmanlarının dedikodularından başka bir şey olduğunu varsayarak reddetti.
qstr_It_seems_that_{s31}_h|Görünüşe göre {s31}, {s 32}'nin sadakatsizliği ile ilgili son hikayeleri oldukça makul buldu.
